learningRate: 0.001
maxMemory: 100000
gamma: 0.99
batchSize: 64
epsilon: 1.0
epsilonDecayRate: 0.995
epsilonMin: 0.01
hidden_nodes: 128
ddqn_enable: True
tau: 0.01
train: True

2025-11-27 20:11:18.292368: epoch: 94 | totalReward = -5.000000000000002 | epsilon = 0.6274028820538087 | pipes passed = 0
2025-11-27 20:11:19.995952: epoch: 95 | totalReward = -5.000000000000002 | epsilon = 0.6242658676435396 | pipes passed = 0
2025-11-27 20:11:21.160734: epoch: 96 | totalReward = -6.599999999999998 | epsilon = 0.6211445383053219 | pipes passed = 0
2025-11-27 20:11:22.851094: epoch: 97 | totalReward = -5.000000000000002 | epsilon = 0.6180388156137953 | pipes passed = 0
2025-11-27 20:11:24.541523: epoch: 98 | totalReward = -5.000000000000002 | epsilon = 0.6149486215357263 | pipes passed = 0
2025-11-27 20:11:25.210940: epoch: 99 | totalReward = -8.1 | epsilon = 0.6118738784280476 | pipes passed = 0
2025-11-27 20:11:26.903590: epoch: 100 | totalReward = -5.000000000000002 | epsilon = 0.6088145090359074 | pipes passed = 0
2025-11-27 20:11:27.910047: epoch: 101 | totalReward = -7.099999999999999 | epsilon = 0.6057704364907278 | pipes passed = 0
2025-11-27 20:11:30.986535: epoch: 102 | totalReward = 9.100000000000037 | epsilon = 0.6027415843082742 | pipes passed = 1
2025-11-27 20:11:31.718374: epoch: 103 | totalReward = -7.8999999999999995 | epsilon = 0.5997278763867329 | pipes passed = 0
2025-11-27 20:11:33.511099: epoch: 104 | totalReward = -4.700000000000003 | epsilon = 0.5967292370047992 | pipes passed = 0
2025-11-27 20:11:35.200058: epoch: 105 | totalReward = -5.000000000000002 | epsilon = 0.5937455908197752 | pipes passed = 0
2025-11-27 20:11:36.893707: epoch: 106 | totalReward = -5.000000000000002 | epsilon = 0.5907768628656763 | pipes passed = 0
2025-11-27 20:11:38.582049: epoch: 107 | totalReward = -5.000000000000002 | epsilon = 0.5878229785513479 | pipes passed = 0
2025-11-27 20:11:40.276040: epoch: 108 | totalReward = -5.000000000000002 | epsilon = 0.5848838636585911 | pipes passed = 0
2025-11-27 20:11:42.200511: epoch: 109 | totalReward = 5.599999999999996 | epsilon = 0.5819594443402982 | pipes passed = 1
2025-11-27 20:11:43.898062: epoch: 110 | totalReward = -5.000000000000002 | epsilon = 0.5790496471185967 | pipes passed = 0
2025-11-27 20:11:44.701796: epoch: 111 | totalReward = -7.699999999999999 | epsilon = 0.5761543988830038 | pipes passed = 0
2025-11-27 20:11:46.362859: epoch: 112 | totalReward = -5.100000000000001 | epsilon = 0.5732736268885887 | pipes passed = 0
2025-11-27 20:11:48.127894: epoch: 113 | totalReward = -4.8000000000000025 | epsilon = 0.5704072587541458 | pipes passed = 0
2025-11-27 20:11:48.795771: epoch: 114 | totalReward = -8.1 | epsilon = 0.567555222460375 | pipes passed = 0
2025-11-27 20:11:49.473924: epoch: 115 | totalReward = -8.1 | epsilon = 0.5647174463480732 | pipes passed = 0
2025-11-27 20:11:51.365242: epoch: 116 | totalReward = 15.599999999999996 | epsilon = 0.5618938591163328 | pipes passed = 1
2025-11-27 20:11:52.070571: epoch: 117 | totalReward = -8.0 | epsilon = 0.5590843898207511 | pipes passed = 0
2025-11-27 20:11:53.772230: epoch: 118 | totalReward = -5.000000000000002 | epsilon = 0.5562889678716474 | pipes passed = 0
2025-11-27 20:11:54.450327: epoch: 119 | totalReward = -8.1 | epsilon = 0.5535075230322891 | pipes passed = 0
2025-11-27 20:11:56.149775: epoch: 120 | totalReward = -5.000000000000002 | epsilon = 0.5507399854171277 | pipes passed = 0
2025-11-27 20:11:57.551151: epoch: 121 | totalReward = -5.899999999999999 | epsilon = 0.547986285490042 | pipes passed = 0
2025-11-27 20:11:59.249604: epoch: 122 | totalReward = -5.000000000000002 | epsilon = 0.5452463540625918 | pipes passed = 0
2025-11-27 20:12:00.948444: epoch: 123 | totalReward = -5.000000000000002 | epsilon = 0.5425201222922789 | pipes passed = 0
2025-11-27 20:12:02.751288: epoch: 124 | totalReward = -4.700000000000003 | epsilon = 0.5398075216808175 | pipes passed = 0
2025-11-27 20:12:03.663425: epoch: 125 | totalReward = -7.399999999999999 | epsilon = 0.5371084840724134 | pipes passed = 0
2025-11-27 20:12:05.852978: epoch: 126 | totalReward = 11.300000000000004 | epsilon = 0.5344229416520513 | pipes passed = 1
2025-11-27 20:12:07.547827: epoch: 127 | totalReward = -5.000000000000002 | epsilon = 0.531750826943791 | pipes passed = 0
2025-11-27 20:12:09.441994: epoch: 128 | totalReward = 15.599999999999996 | epsilon = 0.5290920728090721 | pipes passed = 1
2025-11-27 20:12:11.141723: epoch: 129 | totalReward = -5.000000000000002 | epsilon = 0.5264466124450268 | pipes passed = 0
2025-11-27 20:12:11.846029: epoch: 130 | totalReward = -8.0 | epsilon = 0.5238143793828016 | pipes passed = 0
2025-11-27 20:12:12.647481: epoch: 131 | totalReward = -7.699999999999999 | epsilon = 0.5211953074858876 | pipes passed = 0
2025-11-27 20:12:14.341903: epoch: 132 | totalReward = -5.000000000000002 | epsilon = 0.5185893309484582 | pipes passed = 0
2025-11-27 20:12:15.016980: epoch: 133 | totalReward = -8.1 | epsilon = 0.5159963842937159 | pipes passed = 0
2025-11-27 20:12:16.649069: epoch: 134 | totalReward = -5.200000000000001 | epsilon = 0.5134164023722473 | pipes passed = 0
2025-11-27 20:12:17.324706: epoch: 135 | totalReward = -8.1 | epsilon = 0.510849320360386 | pipes passed = 0
2025-11-27 20:12:18.068894: epoch: 136 | totalReward = -7.8999999999999995 | epsilon = 0.5082950737585841 | pipes passed = 0
2025-11-27 20:12:18.812106: epoch: 137 | totalReward = -7.8999999999999995 | epsilon = 0.5057535983897912 | pipes passed = 0
2025-11-27 20:12:19.688100: epoch: 138 | totalReward = -7.499999999999999 | epsilon = 0.5032248303978422 | pipes passed = 0
2025-11-27 20:12:21.392664: epoch: 139 | totalReward = -5.000000000000002 | epsilon = 0.500708706245853 | pipes passed = 0
2025-11-27 20:12:22.622174: epoch: 140 | totalReward = -6.399999999999999 | epsilon = 0.4982051627146237 | pipes passed = 0
2025-11-27 20:12:24.707927: epoch: 141 | totalReward = 6.099999999999994 | epsilon = 0.49571413690105054 | pipes passed = 1
2025-11-27 20:12:25.507664: epoch: 142 | totalReward = -7.699999999999999 | epsilon = 0.4932355662165453 | pipes passed = 0
2025-11-27 20:12:26.275646: epoch: 143 | totalReward = -7.799999999999999 | epsilon = 0.4907693883854626 | pipes passed = 0
2025-11-27 20:12:27.235675: epoch: 144 | totalReward = -7.199999999999999 | epsilon = 0.4883155414435353 | pipes passed = 0
2025-11-27 20:12:27.902872: epoch: 145 | totalReward = -8.1 | epsilon = 0.4858739637363176 | pipes passed = 0
2025-11-27 20:12:28.733241: epoch: 146 | totalReward = -7.6 | epsilon = 0.483444593917636 | pipes passed = 0
2025-11-27 20:12:29.565694: epoch: 147 | totalReward = -7.6 | epsilon = 0.4810273709480478 | pipes passed = 0
2025-11-27 20:12:30.228460: epoch: 148 | totalReward = -8.1 | epsilon = 0.47862223409330756 | pipes passed = 0
2025-11-27 20:12:30.890396: epoch: 149 | totalReward = -8.1 | epsilon = 0.47622912292284103 | pipes passed = 0
2025-11-27 20:12:32.515601: epoch: 150 | totalReward = -5.200000000000001 | epsilon = 0.4738479773082268 | pipes passed = 0
2025-11-27 20:12:34.205958: epoch: 151 | totalReward = -5.000000000000002 | epsilon = 0.47147873742168567 | pipes passed = 0
2025-11-27 20:12:35.563637: epoch: 152 | totalReward = -5.999999999999998 | epsilon = 0.46912134373457726 | pipes passed = 0
2025-11-27 20:12:36.293135: epoch: 153 | totalReward = -7.8999999999999995 | epsilon = 0.46677573701590436 | pipes passed = 0
2025-11-27 20:12:36.988145: epoch: 154 | totalReward = -8.0 | epsilon = 0.46444185833082485 | pipes passed = 0
2025-11-27 20:12:37.856921: epoch: 155 | totalReward = -7.499999999999999 | epsilon = 0.46211964903917074 | pipes passed = 0
2025-11-27 20:12:38.560394: epoch: 156 | totalReward = -8.0 | epsilon = 0.4598090507939749 | pipes passed = 0
2025-11-27 20:12:39.528052: epoch: 157 | totalReward = -7.199999999999999 | epsilon = 0.457510005540005 | pipes passed = 0
2025-11-27 20:12:40.194520: epoch: 158 | totalReward = -8.1 | epsilon = 0.45522245551230495 | pipes passed = 0
2025-11-27 20:12:40.894107: epoch: 159 | totalReward = -8.0 | epsilon = 0.4529463432347434 | pipes passed = 0
2025-11-27 20:12:41.591239: epoch: 160 | totalReward = -8.0 | epsilon = 0.4506816115185697 | pipes passed = 0
2025-11-27 20:12:42.290693: epoch: 161 | totalReward = -8.0 | epsilon = 0.4484282034609769 | pipes passed = 0
2025-11-27 20:12:43.022878: epoch: 162 | totalReward = -7.8999999999999995 | epsilon = 0.446186062443672 | pipes passed = 0
2025-11-27 20:12:43.822340: epoch: 163 | totalReward = -7.699999999999999 | epsilon = 0.4439551321314536 | pipes passed = 0
2025-11-27 20:12:45.520961: epoch: 164 | totalReward = -5.000000000000002 | epsilon = 0.4417353564707963 | pipes passed = 0
2025-11-27 20:12:46.621037: epoch: 165 | totalReward = -6.799999999999999 | epsilon = 0.43952667968844233 | pipes passed = 0
2025-11-27 20:12:47.855663: epoch: 166 | totalReward = -6.399999999999999 | epsilon = 0.43732904629000013 | pipes passed = 0
2025-11-27 20:12:49.553000: epoch: 167 | totalReward = -5.000000000000002 | epsilon = 0.4351424010585501 | pipes passed = 0
2025-11-27 20:12:51.252234: epoch: 168 | totalReward = -5.000000000000002 | epsilon = 0.43296668905325736 | pipes passed = 0
2025-11-27 20:12:52.248934: epoch: 169 | totalReward = -7.099999999999999 | epsilon = 0.43080185560799106 | pipes passed = 0
2025-11-27 20:12:54.038944: epoch: 170 | totalReward = -4.700000000000003 | epsilon = 0.4286478463299511 | pipes passed = 0
2025-11-27 20:12:55.728324: epoch: 171 | totalReward = -5.000000000000002 | epsilon = 0.42650460709830135 | pipes passed = 0
2025-11-27 20:12:56.561991: epoch: 172 | totalReward = -7.6 | epsilon = 0.42437208406280985 | pipes passed = 0
2025-11-27 20:12:57.890741: epoch: 173 | totalReward = -6.099999999999998 | epsilon = 0.4222502236424958 | pipes passed = 0
2025-11-27 20:12:58.986815: epoch: 174 | totalReward = -6.799999999999999 | epsilon = 0.42013897252428334 | pipes passed = 0
2025-11-27 20:13:00.053398: epoch: 175 | totalReward = -6.899999999999999 | epsilon = 0.4180382776616619 | pipes passed = 0
2025-11-27 20:13:01.838998: epoch: 176 | totalReward = -4.700000000000003 | epsilon = 0.4159480862733536 | pipes passed = 0
2025-11-27 20:13:03.531317: epoch: 177 | totalReward = -5.000000000000002 | epsilon = 0.41386834584198684 | pipes passed = 0
2025-11-27 20:13:04.925711: epoch: 178 | totalReward = -5.899999999999999 | epsilon = 0.4117990041127769 | pipes passed = 0
2025-11-27 20:13:05.954041: epoch: 179 | totalReward = -6.999999999999998 | epsilon = 0.40974000909221303 | pipes passed = 0
2025-11-27 20:13:07.446036: epoch: 180 | totalReward = -5.6 | epsilon = 0.40769130904675194 | pipes passed = 0
2025-11-27 20:13:08.112165: epoch: 181 | totalReward = -8.1 | epsilon = 0.40565285250151817 | pipes passed = 0
2025-11-27 20:13:08.781498: epoch: 182 | totalReward = -8.1 | epsilon = 0.4036245882390106 | pipes passed = 0
2025-11-27 20:13:10.477985: epoch: 183 | totalReward = -5.000000000000002 | epsilon = 0.4016064652978155 | pipes passed = 0
2025-11-27 20:13:11.110385: epoch: 184 | totalReward = -8.2 | epsilon = 0.3995984329713264 | pipes passed = 0
2025-11-27 20:13:12.796206: epoch: 185 | totalReward = -5.000000000000002 | epsilon = 0.3976004408064698 | pipes passed = 0
2025-11-27 20:13:14.486722: epoch: 186 | totalReward = -5.000000000000002 | epsilon = 0.39561243860243744 | pipes passed = 0
2025-11-27 20:13:16.178041: epoch: 187 | totalReward = -5.000000000000002 | epsilon = 0.3936343764094253 | pipes passed = 0
2025-11-27 20:13:17.869065: epoch: 188 | totalReward = -5.000000000000002 | epsilon = 0.39166620452737816 | pipes passed = 0
2025-11-27 20:13:19.564807: epoch: 189 | totalReward = -5.000000000000002 | epsilon = 0.3897078735047413 | pipes passed = 0
2025-11-27 20:13:21.257120: epoch: 190 | totalReward = -5.000000000000002 | epsilon = 0.3877593341372176 | pipes passed = 0
2025-11-27 20:13:22.956208: epoch: 191 | totalReward = -5.000000000000002 | epsilon = 0.3858205374665315 | pipes passed = 0
2025-11-27 20:13:24.649628: epoch: 192 | totalReward = -5.000000000000002 | epsilon = 0.38389143477919885 | pipes passed = 0
2025-11-27 20:13:26.343938: epoch: 193 | totalReward = -5.000000000000002 | epsilon = 0.3819719776053028 | pipes passed = 0
2025-11-27 20:13:27.343376: epoch: 194 | totalReward = -7.099999999999999 | epsilon = 0.3800621177172763 | pipes passed = 0
2025-11-27 20:13:29.197975: epoch: 195 | totalReward = -4.5000000000000036 | epsilon = 0.37816180712868996 | pipes passed = 0
2025-11-27 20:13:30.891701: epoch: 196 | totalReward = -5.000000000000002 | epsilon = 0.37627099809304654 | pipes passed = 0
2025-11-27 20:13:32.452237: epoch: 197 | totalReward = -5.4 | epsilon = 0.3743896431025813 | pipes passed = 0
2025-11-27 20:13:34.141623: epoch: 198 | totalReward = -5.000000000000002 | epsilon = 0.37251769488706843 | pipes passed = 0
2025-11-27 20:13:34.810141: epoch: 199 | totalReward = -8.1 | epsilon = 0.3706551064126331 | pipes passed = 0
2025-11-27 20:13:35.577757: epoch: 200 | totalReward = -7.799999999999999 | epsilon = 0.36880183088056995 | pipes passed = 0
2025-11-27 20:13:36.304359: epoch: 201 | totalReward = -8.0 | epsilon = 0.3669578217261671 | pipes passed = 0
2025-11-27 20:13:36.976852: epoch: 202 | totalReward = -8.1 | epsilon = 0.36512303261753626 | pipes passed = 0
2025-11-27 20:13:37.739938: epoch: 203 | totalReward = -7.799999999999999 | epsilon = 0.3632974174544486 | pipes passed = 0
2025-11-27 20:13:38.410750: epoch: 204 | totalReward = -8.1 | epsilon = 0.3614809303671764 | pipes passed = 0
2025-11-27 20:13:39.081081: epoch: 205 | totalReward = -8.1 | epsilon = 0.3596735257153405 | pipes passed = 0
2025-11-27 20:13:39.751101: epoch: 206 | totalReward = -8.1 | epsilon = 0.3578751580867638 | pipes passed = 0
2025-11-27 20:13:40.391873: epoch: 207 | totalReward = -8.2 | epsilon = 0.35608578229633 | pipes passed = 0
2025-11-27 20:13:41.091697: epoch: 208 | totalReward = -8.0 | epsilon = 0.3543053533848483 | pipes passed = 0
2025-11-27 20:13:41.756788: epoch: 209 | totalReward = -8.1 | epsilon = 0.35253382661792404 | pipes passed = 0
2025-11-27 20:13:42.421216: epoch: 210 | totalReward = -8.1 | epsilon = 0.3507711574848344 | pipes passed = 0
2025-11-27 20:13:43.083070: epoch: 211 | totalReward = -8.1 | epsilon = 0.34901730169741024 | pipes passed = 0
2025-11-27 20:13:44.018054: epoch: 212 | totalReward = -7.299999999999999 | epsilon = 0.3472722151889232 | pipes passed = 0
2025-11-27 20:13:45.708739: epoch: 213 | totalReward = -5.000000000000002 | epsilon = 0.3455358541129786 | pipes passed = 0
2025-11-27 20:13:47.399122: epoch: 214 | totalReward = -5.000000000000002 | epsilon = 0.3438081748424137 | pipes passed = 0
2025-11-27 20:13:49.089881: epoch: 215 | totalReward = -5.000000000000002 | epsilon = 0.3420891339682016 | pipes passed = 0
